layer,metric,mean,std,n
0,l1_dist,0.0,0.0,1000
0,l2_dist,0.0,0.0,1000
0,cosine_dist,4.7087669372558594e-09,1.0162126972379585e-07,1000
0,slang_only_features,0.0,0.0,1000
0,literal_only_features,0.0,0.0,1000
0,shared_features,69.23,61.03614584817753,1000
0,slang_active,69.23,61.03614584817753,1000
0,literal_active,69.23,61.03614584817753,1000
1,l1_dist,0.0,0.0,1000
1,l2_dist,0.0,0.0,1000
1,cosine_dist,7.152557373046875e-10,1.0079806312920742e-07,1000
1,slang_only_features,0.0,0.0,1000
1,literal_only_features,0.0,0.0,1000
1,shared_features,70.489,59.58724594239945,1000
1,slang_active,70.489,59.58724594239945,1000
1,literal_active,70.489,59.58724594239945,1000
2,l1_dist,0.0,0.0,1000
2,l2_dist,0.0,0.0,1000
2,cosine_dist,1.7881393432617187e-09,9.693958402941084e-08,1000
2,slang_only_features,0.0,0.0,1000
2,literal_only_features,0.0,0.0,1000
2,shared_features,75.245,56.00902583512768,1000
2,slang_active,75.245,56.00902583512768,1000
2,literal_active,75.245,56.00902583512768,1000
3,l1_dist,0.0,0.0,1000
3,l2_dist,0.0,0.0,1000
3,cosine_dist,2.3245811462402344e-09,9.30191354385288e-08,1000
3,slang_only_features,0.0,0.0,1000
3,literal_only_features,0.0,0.0,1000
3,shared_features,78.283,54.98533359906076,1000
3,slang_active,78.283,54.98533359906076,1000
3,literal_active,78.283,54.98533359906076,1000
4,l1_dist,0.0,0.0,1000
4,l2_dist,0.0,0.0,1000
4,cosine_dist,-3.2186508178710937e-09,9.918549593840626e-08,1000
4,slang_only_features,0.0,0.0,1000
4,literal_only_features,0.0,0.0,1000
4,shared_features,86.247,52.758942284697106,1000
4,slang_active,86.247,52.758942284697106,1000
4,literal_active,86.247,52.758942284697106,1000
5,l1_dist,0.0,0.0,1000
5,l2_dist,0.0,0.0,1000
5,cosine_dist,9.238719940185547e-09,9.293308418061918e-08,1000
5,slang_only_features,0.0,0.0,1000
5,literal_only_features,0.0,0.0,1000
5,shared_features,86.091,54.697245991000315,1000
5,slang_active,86.091,54.697245991000315,1000
5,literal_active,86.091,54.697245991000315,1000
6,l1_dist,0.0,0.0,1000
6,l2_dist,0.0,0.0,1000
6,cosine_dist,-3.5166740417480467e-09,1.0040364816656973e-07,1000
6,slang_only_features,0.0,0.0,1000
6,literal_only_features,0.0,0.0,1000
6,shared_features,89.382,52.63833276235105,1000
6,slang_active,89.382,52.63833276235105,1000
6,literal_active,89.382,52.63833276235105,1000
7,l1_dist,0.0,0.0,1000
7,l2_dist,0.0,0.0,1000
7,cosine_dist,7.688999176025391e-09,9.924413202726737e-08,1000
7,slang_only_features,0.0,0.0,1000
7,literal_only_features,0.0,0.0,1000
7,shared_features,94.21,50.3833891277671,1000
7,slang_active,94.21,50.3833891277671,1000
7,literal_active,94.21,50.3833891277671,1000
8,l1_dist,0.0,0.0,1000
8,l2_dist,0.0,0.0,1000
8,cosine_dist,5.006790161132813e-09,9.914716232588289e-08,1000
8,slang_only_features,0.0,0.0,1000
8,literal_only_features,0.0,0.0,1000
8,shared_features,101.209,46.86752947403992,1000
8,slang_active,101.209,46.86752947403992,1000
8,literal_active,101.209,46.86752947403992,1000
9,l1_dist,0.0,0.0,1000
9,l2_dist,0.0,0.0,1000
9,cosine_dist,7.212162017822265e-09,9.913668069777641e-08,1000
9,slang_only_features,0.0,0.0,1000
9,literal_only_features,0.0,0.0,1000
9,shared_features,102.49,47.9073470357105,1000
9,slang_active,102.49,47.9073470357105,1000
9,literal_active,102.49,47.9073470357105,1000
10,l1_dist,0.0,0.0,1000
10,l2_dist,0.0,0.0,1000
10,cosine_dist,6.139278411865234e-09,9.582067238894176e-08,1000
10,slang_only_features,0.0,0.0,1000
10,literal_only_features,0.0,0.0,1000
10,shared_features,106.701,43.756914870680724,1000
10,slang_active,106.701,43.756914870680724,1000
10,literal_active,106.701,43.756914870680724,1000
11,l1_dist,0.0,0.0,1000
11,l2_dist,0.0,0.0,1000
11,cosine_dist,1.1324882507324218e-09,1.0235072109733585e-07,1000
11,slang_only_features,0.0,0.0,1000
11,literal_only_features,0.0,0.0,1000
11,shared_features,109.672,44.54061535273172,1000
11,slang_active,109.672,44.54061535273172,1000
11,literal_active,109.672,44.54061535273172,1000
12,l1_dist,0.0,0.0,1000
12,l2_dist,0.0,0.0,1000
12,cosine_dist,5.960464477539063e-10,8.9920081525664e-08,1000
12,slang_only_features,0.0,0.0,1000
12,literal_only_features,0.0,0.0,1000
12,shared_features,117.495,41.60278806762835,1000
12,slang_active,117.495,41.60278806762835,1000
12,literal_active,117.495,41.60278806762835,1000
13,l1_dist,0.0,0.0,1000
13,l2_dist,0.0,0.0,1000
13,cosine_dist,-1.6689300537109375e-09,9.686838602901746e-08,1000
13,slang_only_features,0.0,0.0,1000
13,literal_only_features,0.0,0.0,1000
13,shared_features,115.823,40.73533688334982,1000
13,slang_active,115.823,40.73533688334982,1000
13,literal_active,115.823,40.73533688334982,1000
14,l1_dist,0.0,0.0,1000
14,l2_dist,0.0,0.0,1000
14,cosine_dist,-1.7881393432617188e-10,9.30098157908944e-08,1000
14,slang_only_features,0.0,0.0,1000
14,literal_only_features,0.0,0.0,1000
14,shared_features,120.662,41.21378114174917,1000
14,slang_active,120.662,41.21378114174917,1000
14,literal_active,120.662,41.21378114174917,1000
15,l1_dist,0.0,0.0,1000
15,l2_dist,0.0,0.0,1000
15,cosine_dist,-1.6689300537109375e-09,9.587302891434857e-08,1000
15,slang_only_features,0.0,0.0,1000
15,literal_only_features,0.0,0.0,1000
15,shared_features,123.53,40.063912689601345,1000
15,slang_active,123.53,40.063912689601345,1000
15,literal_active,123.53,40.063912689601345,1000
16,l1_dist,0.0,0.0,1000
16,l2_dist,0.0,0.0,1000
16,cosine_dist,2.384185791015625e-09,9.816506803531733e-08,1000
16,slang_only_features,0.0,0.0,1000
16,literal_only_features,0.0,0.0,1000
16,shared_features,128.567,42.6734286295348,1000
16,slang_active,128.567,42.6734286295348,1000
16,literal_active,128.567,42.6734286295348,1000
17,l1_dist,0.0,0.0,1000
17,l2_dist,0.0,0.0,1000
17,cosine_dist,7.867813110351563e-09,9.755108197711971e-08,1000
17,slang_only_features,0.0,0.0,1000
17,literal_only_features,0.0,0.0,1000
17,shared_features,121.752,37.28128881892363,1000
17,slang_active,121.752,37.28128881892363,1000
17,literal_active,121.752,37.28128881892363,1000
18,l1_dist,0.0,0.0,1000
18,l2_dist,0.0,0.0,1000
18,cosine_dist,1.9669532775878907e-09,9.97360622298875e-08,1000
18,slang_only_features,0.0,0.0,1000
18,literal_only_features,0.0,0.0,1000
18,shared_features,122.823,37.288680199224004,1000
18,slang_active,122.823,37.288680199224004,1000
18,literal_active,122.823,37.288680199224004,1000
19,l1_dist,0.0,0.0,1000
19,l2_dist,0.0,0.0,1000
19,cosine_dist,2.7418136596679687e-09,9.909232308013493e-08,1000
19,slang_only_features,0.0,0.0,1000
19,literal_only_features,0.0,0.0,1000
19,shared_features,124.335,38.75529350940334,1000
19,slang_active,124.335,38.75529350940334,1000
19,literal_active,124.335,38.75529350940334,1000
20,l1_dist,0.0,0.0,1000
20,l2_dist,0.0,0.0,1000
20,cosine_dist,8.463859558105468e-09,9.71726829577552e-08,1000
20,slang_only_features,0.0,0.0,1000
20,literal_only_features,0.0,0.0,1000
20,shared_features,124.541,40.46566839927397,1000
20,slang_active,124.541,40.46566839927397,1000
20,literal_active,124.541,40.46566839927397,1000
21,l1_dist,0.0,0.0,1000
21,l2_dist,0.0,0.0,1000
21,cosine_dist,3.337860107421875e-09,1.0042744129496832e-07,1000
21,slang_only_features,0.0,0.0,1000
21,literal_only_features,0.0,0.0,1000
21,shared_features,127.175,39.16950823025482,1000
21,slang_active,127.175,39.16950823025482,1000
21,literal_active,127.175,39.16950823025482,1000
22,l1_dist,0.0,0.0,1000
22,l2_dist,0.0,0.0,1000
22,cosine_dist,-1.1920928955078125e-10,9.570204623252827e-08,1000
22,slang_only_features,0.0,0.0,1000
22,literal_only_features,0.0,0.0,1000
22,shared_features,124.412,38.42775372045574,1000
22,slang_active,124.412,38.42775372045574,1000
22,literal_active,124.412,38.42775372045574,1000
23,l1_dist,0.0,0.0,1000
23,l2_dist,0.0,0.0,1000
23,cosine_dist,-5.781650543212891e-09,1.0480237418568588e-07,1000
23,slang_only_features,0.0,0.0,1000
23,literal_only_features,0.0,0.0,1000
23,shared_features,116.56,31.77886719189342,1000
23,slang_active,116.56,31.77886719189342,1000
23,literal_active,116.56,31.77886719189342,1000
24,l1_dist,0.0,0.0,1000
24,l2_dist,0.0,0.0,1000
24,cosine_dist,6.198883056640625e-09,9.907977388873415e-08,1000
24,slang_only_features,0.0,0.0,1000
24,literal_only_features,0.0,0.0,1000
24,shared_features,114.595,29.222165816379864,1000
24,slang_active,114.595,29.222165816379864,1000
24,literal_active,114.595,29.222165816379864,1000
25,l1_dist,0.0,0.0,1000
25,l2_dist,0.0,0.0,1000
25,cosine_dist,-2.9802322387695313e-10,1.0553515322013609e-07,1000
25,slang_only_features,0.0,0.0,1000
25,literal_only_features,0.0,0.0,1000
25,shared_features,109.149,23.80518428830157,1000
25,slang_active,109.149,23.80518428830157,1000
25,literal_active,109.149,23.80518428830157,1000
26,l1_dist,0.0,0.0,1000
26,l2_dist,0.0,0.0,1000
26,cosine_dist,3.874301910400391e-09,9.996491493463135e-08,1000
26,slang_only_features,0.0,0.0,1000
26,literal_only_features,0.0,0.0,1000
26,shared_features,106.593,25.491829102675233,1000
26,slang_active,106.593,25.491829102675233,1000
