layer,metric,mean,std,n
0,l1_dist,0.0,0.0,1000
0,l2_dist,0.0,0.0,1000
0,cosine_dist,2.86102294921875e-09,9.753505629705345e-08,1000
0,slang_only_features,0.0,0.0,1000
0,literal_only_features,0.0,0.0,1000
0,shared_features,99.951,1.087473677842365,1000
0,slang_active,99.951,1.087473677842365,1000
0,literal_active,99.951,1.087473677842365,1000
1,l1_dist,0.0,0.0,1000
1,l2_dist,0.0,0.0,1000
1,cosine_dist,5.483627319335937e-09,9.233019208240735e-08,1000
1,slang_only_features,0.0,0.0,1000
1,literal_only_features,0.0,0.0,1000
1,shared_features,100.0,0.0,1000
1,slang_active,100.0,0.0,1000
1,literal_active,100.0,0.0,1000
2,l1_dist,0.0,0.0,1000
2,l2_dist,0.0,0.0,1000
2,cosine_dist,4.649162292480469e-09,9.783001698221017e-08,1000
2,slang_only_features,0.0,0.0,1000
2,literal_only_features,0.0,0.0,1000
2,shared_features,100.0,0.0,1000
2,slang_active,100.0,0.0,1000
2,literal_active,100.0,0.0,1000
3,l1_dist,0.0,0.0,1000
3,l2_dist,0.0,0.0,1000
3,cosine_dist,1.3709068298339844e-09,9.29234500415688e-08,1000
3,slang_only_features,0.0,0.0,1000
3,literal_only_features,0.0,0.0,1000
3,shared_features,100.0,0.0,1000
3,slang_active,100.0,0.0,1000
3,literal_active,100.0,0.0,1000
4,l1_dist,0.0,0.0,1000
4,l2_dist,0.0,0.0,1000
4,cosine_dist,3.0398368835449217e-09,9.364568805896765e-08,1000
4,slang_only_features,0.0,0.0,1000
4,literal_only_features,0.0,0.0,1000
4,shared_features,100.0,0.0,1000
4,slang_active,100.0,0.0,1000
4,literal_active,100.0,0.0,1000
5,l1_dist,0.0,0.0,1000
5,l2_dist,0.0,0.0,1000
5,cosine_dist,-5.960464477539063e-10,9.310352359017e-08,1000
5,slang_only_features,0.0,0.0,1000
5,literal_only_features,0.0,0.0,1000
5,shared_features,100.0,0.0,1000
5,slang_active,100.0,0.0,1000
5,literal_active,100.0,0.0,1000
6,l1_dist,0.0,0.0,1000
6,l2_dist,0.0,0.0,1000
6,cosine_dist,1.0013580322265626e-08,9.393692016601563e-08,1000
6,slang_only_features,0.0,0.0,1000
6,literal_only_features,0.0,0.0,1000
6,shared_features,100.0,0.0,1000
6,slang_active,100.0,0.0,1000
6,literal_active,100.0,0.0,1000
7,l1_dist,0.0,0.0,1000
7,l2_dist,0.0,0.0,1000
7,cosine_dist,2.7418136596679687e-09,8.995926659061199e-08,1000
7,slang_only_features,0.0,0.0,1000
7,literal_only_features,0.0,0.0,1000
7,shared_features,100.0,0.0,1000
7,slang_active,100.0,0.0,1000
7,literal_active,100.0,0.0,1000
8,l1_dist,0.0,0.0,1000
8,l2_dist,0.0,0.0,1000
8,cosine_dist,6.556510925292969e-09,9.062846547315516e-08,1000
8,slang_only_features,0.0,0.0,1000
8,literal_only_features,0.0,0.0,1000
8,shared_features,100.0,0.0,1000
8,slang_active,100.0,0.0,1000
8,literal_active,100.0,0.0,1000
9,l1_dist,0.0,0.0,1000
9,l2_dist,0.0,0.0,1000
9,cosine_dist,2.9802322387695314e-09,8.59113651835893e-08,1000
9,slang_only_features,0.0,0.0,1000
9,literal_only_features,0.0,0.0,1000
9,shared_features,100.0,0.0,1000
9,slang_active,100.0,0.0,1000
9,literal_active,100.0,0.0,1000
10,l1_dist,0.0,0.0,1000
10,l2_dist,0.0,0.0,1000
10,cosine_dist,3.635883331298828e-09,9.065549043594625e-08,1000
10,slang_only_features,0.0,0.0,1000
10,literal_only_features,0.0,0.0,1000
10,shared_features,100.0,0.0,1000
10,slang_active,100.0,0.0,1000
10,literal_active,100.0,0.0,1000
11,l1_dist,0.0,0.0,1000
11,l2_dist,0.0,0.0,1000
11,cosine_dist,8.463859558105468e-09,8.637196350921825e-08,1000
11,slang_only_features,0.0,0.0,1000
11,literal_only_features,0.0,0.0,1000
11,shared_features,100.0,0.0,1000
11,slang_active,100.0,0.0,1000
11,literal_active,100.0,0.0,1000
12,l1_dist,0.0,0.0,1000
12,l2_dist,0.0,0.0,1000
12,cosine_dist,6.318092346191406e-09,8.692401022951294e-08,1000
12,slang_only_features,0.0,0.0,1000
12,literal_only_features,0.0,0.0,1000
12,shared_features,100.0,0.0,1000
12,slang_active,100.0,0.0,1000
12,literal_active,100.0,0.0,1000
13,l1_dist,0.0,0.0,1000
13,l2_dist,0.0,0.0,1000
13,cosine_dist,-1.7881393432617187e-09,8.758232757753223e-08,1000
13,slang_only_features,0.0,0.0,1000
13,literal_only_features,0.0,0.0,1000
13,shared_features,100.0,0.0,1000
13,slang_active,100.0,0.0,1000
13,literal_active,100.0,0.0,1000
14,l1_dist,0.0,0.0,1000
14,l2_dist,0.0,0.0,1000
14,cosine_dist,2.682209014892578e-09,8.161647707362141e-08,1000
14,slang_only_features,0.0,0.0,1000
14,literal_only_features,0.0,0.0,1000
14,shared_features,100.0,0.0,1000
14,slang_active,100.0,0.0,1000
14,literal_active,100.0,0.0,1000
15,l1_dist,0.0,0.0,1000
15,l2_dist,0.0,0.0,1000
15,cosine_dist,6.854534149169922e-09,8.475132859110164e-08,1000
15,slang_only_features,0.0,0.0,1000
15,literal_only_features,0.0,0.0,1000
15,shared_features,100.0,0.0,1000
15,slang_active,100.0,0.0,1000
15,literal_active,100.0,0.0,1000
16,l1_dist,0.0,0.0,1000
16,l2_dist,0.0,0.0,1000
16,cosine_dist,1.0132789611816407e-09,8.854271486045328e-08,1000
16,slang_only_features,0.0,0.0,1000
16,literal_only_features,0.0,0.0,1000
16,shared_features,100.0,0.0,1000
16,slang_active,100.0,0.0,1000
16,literal_active,100.0,0.0,1000
17,l1_dist,0.0,0.0,1000
17,l2_dist,0.0,0.0,1000
17,cosine_dist,2.086162567138672e-09,9.382337201086897e-08,1000
17,slang_only_features,0.0,0.0,1000
17,literal_only_features,0.0,0.0,1000
17,shared_features,100.0,0.0,1000
17,slang_active,100.0,0.0,1000
17,literal_active,100.0,0.0,1000
18,l1_dist,0.0,0.0,1000
18,l2_dist,0.0,0.0,1000
18,cosine_dist,6.198883056640625e-09,9.301350174676856e-08,1000
18,slang_only_features,0.0,0.0,1000
18,literal_only_features,0.0,0.0,1000
18,shared_features,100.0,0.0,1000
18,slang_active,100.0,0.0,1000
18,literal_active,100.0,0.0,1000
19,l1_dist,0.0,0.0,1000
19,l2_dist,0.0,0.0,1000
19,cosine_dist,4.947185516357422e-09,8.617172355193666e-08,1000
19,slang_only_features,0.0,0.0,1000
19,literal_only_features,0.0,0.0,1000
19,shared_features,100.0,0.0,1000
19,slang_active,100.0,0.0,1000
19,literal_active,100.0,0.0,1000
20,l1_dist,0.0,0.0,1000
20,l2_dist,0.0,0.0,1000
20,cosine_dist,1.5497207641601562e-09,9.174709687129243e-08,1000
20,slang_only_features,0.0,0.0,1000
20,literal_only_features,0.0,0.0,1000
20,shared_features,100.0,0.0,1000
20,slang_active,100.0,0.0,1000
20,literal_active,100.0,0.0,1000
21,l1_dist,0.0,0.0,1000
21,l2_dist,0.0,0.0,1000
21,cosine_dist,7.271766662597656e-09,8.982552465386818e-08,1000
21,slang_only_features,0.0,0.0,1000
21,literal_only_features,0.0,0.0,1000
21,shared_features,100.0,0.0,1000
21,slang_active,100.0,0.0,1000
21,literal_active,100.0,0.0,1000
22,l1_dist,0.0,0.0,1000
22,l2_dist,0.0,0.0,1000
22,cosine_dist,4.172325134277344e-09,8.926977121577832e-08,1000
22,slang_only_features,0.0,0.0,1000
22,literal_only_features,0.0,0.0,1000
22,shared_features,100.0,0.0,1000
22,slang_active,100.0,0.0,1000
22,literal_active,100.0,0.0,1000
23,l1_dist,0.0,0.0,1000
23,l2_dist,0.0,0.0,1000
23,cosine_dist,-6.198883056640625e-09,8.91519724896405e-08,1000
23,slang_only_features,0.0,0.0,1000
23,literal_only_features,0.0,0.0,1000
23,shared_features,100.0,0.0,1000
23,slang_active,100.0,0.0,1000
23,literal_active,100.0,0.0,1000
24,l1_dist,0.0,0.0,1000
24,l2_dist,0.0,0.0,1000
24,cosine_dist,1.7881393432617187e-09,8.737927080898624e-08,1000
24,slang_only_features,0.0,0.0,1000
24,literal_only_features,0.0,0.0,1000
24,shared_features,100.0,0.0,1000
24,slang_active,100.0,0.0,1000
24,literal_active,100.0,0.0,1000
25,l1_dist,0.0,0.0,1000
25,l2_dist,0.0,0.0,1000
25,cosine_dist,6.9737434387207035e-09,9.407929989028486e-08,1000
25,slang_only_features,0.0,0.0,1000
25,literal_only_features,0.0,0.0,1000
25,shared_features,100.0,0.0,1000
25,slang_active,100.0,0.0,1000
25,literal_active,100.0,0.0,1000
26,l1_dist,0.0,0.0,1000
26,l2_dist,0.0,0.0,1000
26,cosine_dist,3.337860107421875e-09,9.7008532439586e-08,1000
26,slang_only_features,0.0,0.0,1000
26,literal_only_features,0.0,0.0,1000
26,shared_features,100.0,0.0,1000
26,slang_active,100.0,0.0,1000
26,literal_active,100.0,0.0,1000
27,l1_dist,0.0,0.0,1000
27,l2_dist,0.0,0.0,1000
27,cosine_dist,4.470348358154297e-09,9.38915060308098e-08,1000
27,slang_only_features,0.0,0.0,1000
27,literal_only_features,0.0,0.0,1000
27,shared_features,100.0,0.0,1000
27,slang_active,100.0,0.0,1000
27,literal_active,100.0,0.0,1000
28,l1_dist,0.0,0.0,1000
28,l2_dist,0.0,0.0,1000
28,cosine_dist,3.635883331298828e-09,9.1007509538501e-08,1000
28,slang_only_features,0.0,0.0,1000
28,literal_only_features,0.0,0.0,1000
28,shared_features,100.0,0.0,1000
28,slang_active,100.0,0.0,1000
